                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.2162,                 1.1688,                 1.1971,                0.42207,                0.51205,                0.44978,                0.24777,                 1.5618,                 2.0968,                 1.3856,               0.001439,               0.001439,               0.001439
                     87,                 1.2096,                 1.0855,                 1.1952,                 0.5006,                    0.4,                0.44553,                0.21297,                 1.5697,                 2.1411,                 1.3413,              0.0014324,              0.0014324,              0.0014324
                     88,                  1.133,                 1.0452,                 1.1297,                      1,                0.38302,                0.48763,                0.22426,                 1.6458,                 2.0808,                 1.4279,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.2492,                 1.0513,                 1.1645,                0.69461,                    0.5,                0.68685,                0.28057,                 1.7758,                 1.6683,                 1.4352,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.1593,                 1.0069,                 1.1327,                0.75644,                    0.7,                0.77909,                0.31421,                 2.0429,                 1.5489,                 1.5687,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.3116,                 1.0187,                 1.1592,                0.86648,                    0.7,                0.80854,                0.34482,                  2.095,                 1.5951,                 1.5896,               0.001406,               0.001406,               0.001406
                     92,                 1.2555,                  1.038,                 1.1704,                0.76684,                0.66063,                0.74557,                0.36322,                 1.8542,                 1.7441,                 1.4922,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.2253,                 1.0465,                 1.1914,                0.81801,                    0.6,                0.73731,                0.30524,                 1.8393,                 1.8858,                 1.5193,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.0832,                0.99317,                 1.0797,                0.67673,                 0.6302,                0.68204,                0.26245,                 2.0543,                 1.9164,                 1.6501,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.2059,                   1.04,                 1.1229,                 0.6096,                0.62639,                0.69625,                0.25165,                 2.0681,                  1.956,                 1.7026,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.0788,                0.92516,                  1.132,                0.43024,                    0.7,                0.50185,                0.20416,                 2.0197,                 2.1079,                 1.7364,               0.001373,               0.001373,               0.001373
                     97,                 1.0768,                 0.9723,                 1.1087,                0.75297,                    0.4,                0.51012,                0.21966,                 1.9353,                 2.0474,                  1.681,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.1422,                0.97001,                 1.0875,                0.63494,                    0.4,                 0.4927,                0.20074,                 1.9128,                 2.0481,                 1.6401,              0.0013598,              0.0013598,              0.0013598
                     99,                0.99756,                0.91966,                 1.0774,                0.75959,                    0.4,                0.52797,                0.23716,                 1.8689,                 1.9074,                 1.6317,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.1588,                0.96617,                 1.1478,                0.71012,                0.49124,                0.59764,                0.28137,                 1.9914,                 1.6863,                  1.687,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.1944,                0.94757,                 1.2012,                0.75241,                0.60866,                0.74765,                0.34842,                 1.8515,                 1.5149,                 1.6446,                0.00134,                0.00134,                0.00134
                    102,                 1.1155,                  0.925,                  1.101,                0.77328,                0.68382,                0.80278,                0.27361,                 2.2141,                 1.4849,                 1.9719,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.0208,                0.84623,                 1.0593,                      1,                0.67949,                0.85337,                0.27912,                  2.254,                 1.4132,                 2.0684,              0.0013268,              0.0013268,              0.0013268
                    104,                0.97783,                0.96541,                 1.0707,                0.71154,                    0.8,                0.82654,                0.33959,                 2.0967,                 1.4692,                 1.9042,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.1961,                0.89478,                 1.1515,                0.88561,                0.77636,                0.90611,                0.38652,                 2.0441,                 1.4394,                 1.8211,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.1747,                0.97951,                  1.067,                0.72613,                    0.9,                0.88882,                0.34715,                 2.0919,                 1.3699,                 1.8469,               0.001307,               0.001307,               0.001307
                    107,                 1.0336,                0.84301,                 1.0677,                0.74608,                0.88276,                   0.87,                0.35415,                 1.9679,                 1.5034,                 1.7279,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.0165,                0.81845,                 1.0472,                0.74982,                    0.9,                 0.8502,                0.35916,                 2.0207,                 1.5265,                 1.6798,              0.0012938,              0.0012938,              0.0012938
                    109,                  1.007,                0.92441,                 1.1027,                0.68525,                    0.9,                0.77816,                 0.3113,                 2.1254,                  1.526,                 1.7064,              0.0012872,              0.0012872,              0.0012872
                    110,                0.97407,                0.99028,                 1.0642,                0.62529,                0.66956,                0.70894,                 0.3252,                 2.1082,                 1.5862,                 1.6885,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.1061,                0.97746,                 1.1451,                0.48208,                    0.9,                0.65619,                0.26972,                 2.1215,                 1.6092,                 1.7366,               0.001274,               0.001274,               0.001274
                    112,                 1.0926,                  0.957,                 1.0876,                0.52456,                    0.7,                0.61311,                0.26337,                 2.2889,                 1.6504,                 1.8689,              0.0012674,              0.0012674,              0.0012674
                    113,                0.91218,                0.82097,                 1.0068,                 0.4431,                0.79588,                0.54327,                0.23122,                 2.3816,                  1.766,                 1.9584,              0.0012608,              0.0012608,              0.0012608
                    114,                  1.175,                0.87802,                 1.0576,                0.36775,                    0.7,                0.48812,                0.23132,                  2.193,                 1.8677,                 1.8268,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.1808,                   0.92,                 1.1252,                0.55952,                    0.7,                0.58746,                0.26859,                 2.0338,                 1.8675,                 1.6794,              0.0012476,              0.0012476,              0.0012476
                    116,                  1.004,                0.80389,                  1.067,                0.82273,                    0.6,                0.70561,                0.30847,                 1.9699,                 1.7019,                 1.5953,               0.001241,               0.001241,               0.001241
                    117,                0.89363,                0.75059,                 1.0472,                0.68778,                0.66335,                0.73646,                0.33665,                 1.9494,                 1.6379,                   1.66,              0.0012344,              0.0012344,              0.0012344
                    118,                  1.121,                0.85211,                  1.154,                0.56443,                    0.8,                0.70473,                0.34491,                 1.9247,                 1.6416,                 1.6961,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.0929,                0.90824,                 1.0989,                0.69749,                0.69246,                0.62723,                0.31874,                 1.9915,                 1.6837,                 1.7473,              0.0012212,              0.0012212,              0.0012212
                    120,                0.88409,                0.79742,                 1.0265,                0.72943,                    0.7,                0.64457,                0.31725,                  1.947,                 1.6407,                 1.7622,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.0884,                 0.8451,                 1.1112,                0.68257,                    0.7,                0.64405,                0.30247,                   1.94,                 1.7029,                 1.6565,               0.001208,               0.001208,               0.001208
                    122,                 1.0959,                0.90609,                 1.1382,                0.58258,                    0.6,                0.59765,                0.28691,                 1.8664,                 1.5866,                   1.52,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.1299,                0.96906,                 1.0626,                0.63483,                0.52358,                0.69223,                 0.3557,                 1.8061,                 1.4415,                 1.4769,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.0748,                 0.9286,                 1.0788,                0.87765,                    0.5,                0.76081,                0.37204,                 1.7418,                 1.2507,                 1.4547,              0.0011882,              0.0011882,              0.0011882
                    125,                0.94884,                0.78819,                 1.0833,                0.86204,                    0.5,                0.70367,                0.35232,                 1.7049,                 1.2282,                 1.4907,              0.0011816,              0.0011816,              0.0011816
                    126,                0.95777,                0.84592,                 1.0901,                      1,                0.57267,                0.79929,                 0.3137,                 1.8786,                 1.2473,                 1.5994,               0.001175,               0.001175,               0.001175
                    127,                0.97178,                0.87487,                  1.097,                0.89418,                    0.6,                0.83838,                0.33241,                 2.0197,                  1.277,                 1.6926,              0.0011684,              0.0011684,              0.0011684
                    128,                0.84632,                0.71963,                0.99277,                      1,                0.67595,                0.82654,                0.34371,                 1.9371,                  1.217,                   1.64,              0.0011618,              0.0011618,              0.0011618
                    129,                0.92037,                 0.7881,                 1.0485,                0.94662,                    0.6,                0.78083,                0.36534,                 1.7937,                 1.2342,                 1.5913,              0.0011552,              0.0011552,              0.0011552
                    130,                0.92832,                  0.796,                 1.0546,                 0.9487,                    0.6,                0.70767,                0.35476,                 1.7942,                 1.3632,                 1.6043,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.0467,                0.85642,                 1.0656,                0.96418,                    0.6,                0.68008,                0.36087,                 1.7731,                 1.5147,                 1.6028,               0.001142,               0.001142,               0.001142
                    132,                0.92956,                0.74274,                 1.0236,                  0.709,                    0.6,                 0.6854,                0.32345,                 1.8385,                 1.5436,                 1.6231,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.0141,                0.84011,                 1.1159,                0.69341,                0.68024,                0.71898,                0.33945,                 1.9147,                 1.4797,                 1.6827,              0.0011288,              0.0011288,              0.0011288
                    134,                0.96369,                0.79923,                 1.0505,                0.86929,                0.66804,                0.70194,                0.34935,                 1.9504,                 1.5396,                 1.7395,              0.0011222,              0.0011222,              0.0011222
                    135,                 0.8613,                0.71033,                 1.0075,                0.69994,                    0.7,                 0.7121,                0.34504,                 2.0133,                 1.4896,                  1.783,              0.0011156,              0.0011156,              0.0011156
                    136,                0.82742,                0.71416,                0.97218,                0.82219,                    0.6,                0.68743,                0.33289,                 1.9857,                 1.4039,                 1.7798,               0.001109,               0.001109,               0.001109
                    137,                 1.0139,                 0.8004,                 1.0862,                0.77339,                0.68419,                 0.7301,                0.33587,                 1.9395,                 1.3908,                 1.7709,              0.0011024,              0.0011024,              0.0011024
                    138,                0.80213,                0.67136,                0.97368,                0.83596,                    0.6,                0.70668,                0.34963,                 1.8695,                 1.3759,                 1.6935,              0.0010958,              0.0010958,              0.0010958
                    139,                0.94959,                0.86218,                 1.0323,                0.93814,                    0.6,                0.68125,                0.35709,                 1.7082,                 1.4423,                 1.5881,              0.0010892,              0.0010892,              0.0010892
                    140,                0.75297,                0.67336,                0.96987,                 0.9317,                    0.6,                0.63177,                  0.353,                 1.6986,                 1.5308,                 1.5272,              0.0010826,              0.0010826,              0.0010826
                    141,                 0.8253,                0.73125,                 1.0253,                0.85651,                    0.6,                 0.6366,                0.35623,                 1.7043,                 1.6579,                 1.5118,               0.001076,               0.001076,               0.001076
                    142,                0.88198,                0.69145,                0.98303,                0.76558,                    0.6,                0.61024,                0.31103,                 1.8011,                 1.7421,                 1.5107,              0.0010694,              0.0010694,              0.0010694
                    143,                0.88074,                0.77547,                  1.069,                0.76507,                    0.6,                0.62223,                0.32423,                 1.9061,                 1.6657,                 1.5421,              0.0010628,              0.0010628,              0.0010628
                    144,                0.90382,                0.74777,                  1.049,                0.74045,                    0.6,                0.58282,                0.28525,                 1.9642,                 1.6579,                 1.5341,              0.0010562,              0.0010562,              0.0010562
                    145,                0.89966,                0.69156,                 1.0192,                0.73836,                    0.6,                0.65186,                0.31433,                 1.9173,                 1.5603,                 1.5022,              0.0010496,              0.0010496,              0.0010496
                    146,                0.83943,                 0.7254,                0.99535,                0.75356,                    0.7,                0.69564,                0.37512,                 1.8115,                  1.509,                  1.434,               0.001043,               0.001043,               0.001043
                    147,                0.86926,                0.72801,                0.98312,                0.69963,                    0.7,                 0.7303,                0.35453,                 1.8259,                 1.5412,                 1.4482,              0.0010364,              0.0010364,              0.0010364
                    148,                0.93806,                0.68446,                 1.0186,                0.77233,                0.68038,                0.76894,                0.38537,                 1.8954,                 1.5025,                 1.5083,              0.0010298,              0.0010298,              0.0010298
